id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,pemilik_menara,lokasi_menara,long,lat,struktur_tower,tinggi_tower,keterangan,satuan,tahun
435,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,SMARTFREN,JL. CIUMBULEUIT 152,107.606487,-6.867695,POLE ROOFTOP,3,-,METER,2017
436,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. CIHAMPELAS NO. 326,107.604702,-6.88481,MICROCELL POLE,12,-,METER,2017
437,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. PELESIRAN NO. 61 RT 06/06,107.60632,-5.895322,POLE ROOFTOP,6,-,METER,2017
438,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TIDAK TERIDENTIFIKASI,JL. TAMAN SARI,107.608474,-6.893787,MICROCELL POLE,26,-,METER,2017
439,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,XL AXIATA,JL. TAMAN SARI,107.608283,-6.890322,4 KAKI,55,-,METER,2017
440,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. GANESA,107.610121,-6.888286,POLE ROOFTOP,6,-,METER,2017
441,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,INDOSAT,JL. GANESA,107.611069,-6.89054,POLE ROOFTOP,12,-,METER,2017
442,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. SABUGA,107.608533,-6.886019,POLE ROOFTOP,3,-,METER,2017
443,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,XL AXIATA,JL. SABUGA,107.608477,-6.8858,POLE ROOFTOP,3,-,METER,2017
444,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,TIDAK TERIDENTIFIKASI,JL. CIUMBULEUIT,107.604853,-6.880982,POLE ROOFTOP,3,-,METER,2017
445,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,RASE FM,JL. SETIABUDI NO.,107.602727,-6.883298,4 KAKI,80,-,METER,2017
446,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,XL AXIATA,JL. CIHAMPELAS NO. 225-229,107.604134,-6.885329,POLE ROOFTOP,6,-,METER,2017
447,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TOWER BERSAMA GROUP,JL. CIHAMPELAS NO. 264,107.603743,-6.887854,POLE ROOFTOP,6,-,METER,2017
448,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SMARTFREN,JL. CIHAMPELAS,107.603514,-6.888538,POLE ROOFTOP,6,-,METER,2017
449,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,PT. MAS SARANA JAYA,JL. CIHAMPELAS,107.603057,-6.892174,POLE ROOFTOP,6,-,METER,2017
450,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. CIHAMPELAS NO. 182,107.604202,-6.893611,3 KAKI,20,-,METER,2017
451,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,RETOWER ASIA,JL. CIHAMPELAS NO. 112,107.604496,-6.898165,POLE ROOFTOP,6,-,METER,2017
452,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. CIHAMPELAS NO. 129,107.603304,-6.895941,4 KAKI,20,-,METER,2017
453,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,PT. MAS SARANA JAYA,JL. CIHAMPELAS,107.603635,-6.896779,POLE ROOFTOP,6,-,METER,2017
454,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,SMARTFREN,JL. TAMAN SARI,107.608372,-6.904839,POLE ROOFTOP,12,-,METER,2017
455,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,PT. MAS SARANA JAYA,JL. TAMAN SARI NO. 7,107.607965,-6.902748,POLE ROOFTOP,3,-,METER,2017
456,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,XL AXIATA,JL. RE MARTADINATA NO. 7,107.609489,-6.906171,4 KAKI,55,-,METER,2017
457,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,SOLUSI TUNAS PRATAMA,JL. IR. H. JUANDA NO. 33,107.610507,-6.90422,POLE ROOFTOP,6,-,METER,2017
458,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,CAMSLINDO,JL. IR. H. JUANDA NO. 33,107.610488,-6.904274,POLE ROOFTOP,6,-,METER,2017
459,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,KIN (KOMET INFRA NUSANTARA),JL. GANESA 7,107.611044,-6.894038,4 KAKI,36,-,METER,2017
460,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,DIAN SWASTIKA SENTOSA (DSS),JL. GANESA 7,107.611004,-6.894391,POLE ROOFTOP,15,-,METER,2017
461,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,XL AXIATA,JL. GANESA 7,107.610984,-6.894392,POLE ROOFTOP,10,-,METER,2017
462,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. IR.H. JUANDA,107.612982,-6.893496,MICROCELL POLE,10,-,METER,2017
463,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SMARTFREN,JL. IR.H. JUANDA NO. 151,107.613236,-6.888721,POLE ROOFTOP,6,-,METER,2017
464,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. IR.H. JUANDA DAGO,107.613504,-6.885413,MICROCELL POLE,10,-,METER,2017
465,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,RADIO ZORA FM,JL. SUMUR BANDUNG NO. 13,107.612898,-6.886279,4 KAKI,80,-,METER,2017
466,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. SILIWANGI,107.612824,-6.885215,MONOPOLE,15,-,METER,2017
467,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,PT. MAS SARANA JAYA,JL. IR.H. JUANDA NO. 181,107.613236,-6.884752,POLE ROOFTOP,3,-,METER,2017
468,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. SANGKURIANG NO. 33 RT 02/14,107.608311,-6.881939,POLE ROOFTOP,6,-,METER,2017
469,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. CISITU LAMA RT 07/12,107.611182,-6.878284,3 KAKI,43,-,METER,2017
470,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,DAYA MITRA TELEKOMUNIKASI,JL. CISITU INDAH 4 NO. 45 RT 04/05,107.614206,-6.876754,MICROCELL POLE,25,-,METER,2017
471,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,IBS,JL. IR.H. JUANDA NO. 381A,107.619111,-6.870704,POLE ROOFTOP,6,-,METER,2017
472,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,INDOSAT,JL. IR.H. JUANDA NO. 381A,107.619699,-6.871034,POLE ROOFTOP,6,-,METER,2017
473,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,DAYA MITRA TELEKOMUNIKASI,JL. IR.H. JUANDA NO. 381A,107.619693,-6.87101,POLE ROOFTOP,6,-,METER,2017
474,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,XL AXIATA,JL. IR.H. JUANDA NO. 381A,107.619694,-6.871007,POLE ROOFTOP,6,-,METER,2017
475,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,TELKOMSEL,JL. CIGADUNG RAYA BARU,107.623974,-6.86769,4 KAKI,42,-,METER,2017
476,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,NATRINDO TELEPON SELULER,JL. CIGADUNG RAYA BARAT,107.624004,-6.868447,3 KAKI,45,-,METER,2017
477,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,XL AXIATA,JL. CIGADUNG RAYA BARAT,107.623973,-6.868625,MONOPOLE,36,-,METER,2017
478,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,TELKOMSEL,JL. TUBAGUS ISMAIL VII NO. 60,107.62171,-6.880003,4 KAKI,55,-,METER,2017
479,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,TELKOMSEL,JL. BANGBAYONG,107.617029,-6.88167,POLE ROOFTOP,9,-,METER,2017
480,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. TAMAN SARI 21 C,107.608869,-6.900497,4 KAKI,15,-,METER,2017
481,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TELKOMSEL,JL. IR.H. JUANDA,107.61582,-6.882751,4 KAKI,60,-,METER,2017
